sector  pad  layer noise_in_MeV
3  18  0 0.010941130562167015
3  19  0 0.00615862320822269
3  20  0 0.009830269775225896
3  21  0 0.009550579903331658
3  22  0 0.007738268498661779
3  23  0 0.006979752330520811
3  24  0 0.010165296334820722
3  25  0 0.009613988613970201
3  26  0 0.010613799948816893
3  27  0 0.007500633811770463
3  28  0 0.009518977470246649
3  29  0 0.009999396369533533
3  30  0 0.010511024183974213
3  31  0 0.00715713462580355
3  32  0 0.01015696705362302
3  33  0 0.009727551784483925
3  34  0 0.008740561394645314
3  35  0 0.0113751219761128
3  36  0 0.011355151758661962
3  37  0 0.01083589776292836
3  38  0 0.01226204380826153
3  39  0 0.011570217483648134
3  40  0 0.010524666502281926
3  41  0 0.011034427014184776
3  42  0 0.013599982972825735
3  43  0 0.011745170541507881
3  44  0 0.0095969823168932
3  45  0 0.012194521145621928
3  46  0 0.009849702584532457
3  47  0 0.009545999398215474
3  48  0 0.011870791057830761
3  49  0 0.010557329580649677
3  50  0 0.011262128916064514
3  51  0 0.012610930701638419
3  52  0 0.011436375603787354
3  53  0 0.013081932422510573
3  54  0 0.01264093290114167
3  55  0 0.013000934223401137
3  56  0 0.013613584958270695
3  57  0 0.0156350015448579
3  58  0 0.011988498702511959
3  59  0 0.014040269583593501
3  60  0 0.011917873679672295
3  61  0 0.016646772118550292
3  62  0 0.016054488389294904
3  63  0 0.013420070062924427
-1  63  0 0.03343995470905788
-1  63  0 0.033988906772708015
0  62  0 0.017449143189434982
0  63  0 0.015879486277953426
0  60  0 0.01687740305832798
0  61  0 0.013893064445232185
0  58  0 0.015299976075340452
0  59  0 0.012052674827620232
0  56  0 0.014582555824115245
0  57  0 0.015412696616045793
0  54  0 0.013438071600641852
0  55  0 0.014424252608031925
0  52  0 0.013774666781574654
0  53  0 0.01306539485870344
0  50  0 0.013016587734459765
0  51  0 0.013549968042854138
0  48  0 0.01448350594372928
0  49  0 0.014547496755684347
0  46  0 0.012204322031271515
0  47  0 0.014721295421607388
0  44  0 0.013438192599230122
0  45  0 0.013941057281679142
0  42  0 0.012039594989236348
0  43  0 0.011666954219851202
0  40  0 0.01251260572270468
0  41  0 0.011992470944454691
0  38  0 0.012614539947816352
0  39  0 0.012116459614952035
0  36  0 0.010815005340021002
0  37  0 0.011015267814298527
0  34  0 0.011466291687178236
0  35  0 0.012280973001822331
0  32  0 0.011767840880608603
0  33  0 0.014643530391982624
0  30  0 0.010481372989384674
0  31  0 0.011828476434413359
0  28  0 0.01050315382535003
0  29  0 0.010291706067160764
0  26  0 0.010408285481762177
0  27  0 0.010739891378564383
0  24  0 0.009806044985793034
0  25  0 0.01101133699529592
0  22  0 0.0097772702134104
0  23  0 0.010771833915789385
0  20  0 0.00930636114911484
0  21  0 0.010840669031584605
0  18  0 0.0102698173135356
0  19  0 0.011541018671167875
0  16  0 0.009473037249490734
0  17  0 0.010344642404488702
0  14  0 0.007858280566906899
0  15  0 0.010175050347143324
0  12  0 0.008813082607073176
0  13  0 0.009636976165586104
0  10  0 0.00938305027237367
0  11  0 0.008837609892976704
0  8  0 0.009879329797419817
0  9  0 0.00866903487781919
0  6  0 0.007222842309619159
0  7  0 0.007925902971626025
0  4  0 0.008216771041929088
0  5  0 0.006543818943737212
0  2  0 0.007350866991585484
0  3  0 0.006863604586558615
0  0  0 0.00651214620066172
0  1  0 0.010371346029864979
1  1  0 0.005782228212369162
1  0  0 0.012419993839276394
1  3  0 0.006558093506920549
1  2  0 0.005672398556853753
1  5  0 0.008228071874042243
1  4  0 0.00931940065463596
1  7  0 0.006943871343751598
1  6  0 0.00992217528851728
1  9  0 0.008472528265126103
1  8  0 0.008925419985582342
1  11  0 0.008228131283259006
1  10  0 0.008072089432683425
1  13  0 0.007064361410924243
1  12  0 0.00904630793099568
1  15  0 0.008406449409965404
1  14  0 0.008386768608056766
1  17  0 0.010152215406359468
1  16  0 0.008185737629232148
1  19  0 0.009802754042207656
1  18  0 0.009004833757231913
1  21  0 0.00872557174070609
1  20  0 0.009509279051870004
1  23  0 0.010179878299822899
1  22  0 0.010582023103352402
1  25  0 0.009433116435981737
1  24  0 0.00890811010195731
1  27  0 0.010960760675477866
1  26  0 0.011491538969185821
1  29  0 0.011333719747455569
1  28  0 0.00733935304934615
1  31  0 0.011290444765873637
1  30  0 0.01126989462726101
1  33  0 0.012411558820573635
1  32  0 0.009725833822546012
1  35  0 0.01350140836617386
1  34  0 0.011022777357312656
1  37  0 0.012295232303922467
1  36  0 0.011744896932087568
1  39  0 0.013175451250312177
1  38  0 0.010976337881120471
1  41  0 0.01410030232461167
1  40  0 0.010573130252153489
1  43  0 0.013712724225001142
1  42  0 0.01132393194273444
1  45  0 0.013077363908245482
1  44  0 0.011537244823306805
1  47  0 0.013251304284226858
1  46  0 0.013006513239389856
1  49  0 0.01357973587572246
1  48  0 0.012972464672682591
1  51  0 0.016275304272417173
1  50  0 0.015528450842076776
1  53  0 0.014706809383413927
1  52  0 0.015104250503084239
1  55  0 0.014645192759974572
1  54  0 0.015853232854531694
1  57  0 0.01564872234873638
1  56  0 0.01706420307706414
1  59  0 0.015244057286323345
1  58  0 0.01838163025572373
1  61  0 0.016289121003104368
1  60  0 0.01960535111327378
1  63  0 0.01599777275371904
2  62  1 0.02603723709720675
2  61  1 0.010587615200269586
2  60  1 0.011049301119922588
2  59  1 0.008344827881177878
2  58  1 0.0106866247477928
2  57  1 0.010813870569476988
2  56  1 0.010485525094093751
2  55  1 0.00884462781109617
2  54  1 0.00880716457702183
2  53  1 0.00906085937383145
2  52  1 0.008885240823736238
2  51  1 0.010240429917670033
2  50  1 0.009036670556951856
2  49  1 0.008858375866908942
2  48  1 0.010826584141863951
2  47  1 0.00822966938243057
2  46  1 0.008979032715919466
2  45  1 0.009121063802035676
2  44  1 0.00838684600355016
2  43  1 0.009796220118441262
2  42  1 0.010400257061919087
2  41  1 0.009026923630132164
2  40  1 0.010350920160072734
2  39  1 0.008860505333054698
2  38  1 0.009033467364594903
2  37  1 0.008276024377626442
2  36  1 0.009253188264997228
2  35  1 0.007543295624830773
2  34  1 0.009513597938416957
2  33  1 0.008272789027987029
2  32  1 0.008594669799516978
2  31  1 0.00959083210036167
2  30  1 0.006372765092636291
2  29  1 0.00802220258680301
2  28  1 0.009778401713722294
2  27  1 0.007108160174683315
2  26  1 0.008607638450008935
2  25  1 0.008038273052456347
2  24  1 0.007822817624809762
2  23  1 0.007623819640283493
2  22  1 0.007981669694849768
2  21  1 0.007749307712205702
2  20  1 0.007467218580016198
2  19  1 0.007055756885190165
2  18  1 0.008853517937101645
2  17  1 0.007559297415609684
2  16  1 0.00917234485687458
2  15  1 0.008729293264853315
2  14  1 0.00833201184151797
2  13  1 0.007831984085428985
2  12  1 0.007134264802543794
2  11  1 0.007506905571928945
2  10  1 0.008022065782092852
2  9  1 0.007454624371101436
2  8  1 0.007225779523097393
2  7  1 0.008233486833386513
2  6  1 0.008547750689281213
2  5  1 0.006923937098854025
2  4  1 0.008343795032868128
2  3  1 0.008341566369681544
2  2  1 0.007918499166116958
2  1  1 0.00733836979955681
2  0  1 0.0050170396806355835
3  0  1 0.006242945598277345
3  1  1 0.00647125794348528
3  2  1 0.006406644697350928
3  3  1 0.00855628490502481
3  4  1 0.007296867283781377
3  5  1 0.006106410137230922
3  6  1 0.007512439894745422
3  7  1 0.007236899402366829
3  8  1 0.008154559236244753
3  9  1 0.007478922195718213
3  10  1 0.006893144048217552
3  11  1 0.006343516681635617
3  12  1 0.006214777998990784
3  13  1 0.007088255361874772
3  14  1 0.007065083587183037
3  15  1 0.009417746345039764
3  16  1 0.008119289782881104
3  17  1 0.007932733396437542
3  18  1 0.007614566518513219
3  19  1 0.00843621942298847
3  20  1 0.00791192817971992
3  21  1 0.009634461357089433
3  22  1 0.008316728956765744
3  23  1 0.00776961530860311
3  24  1 0.007878199005682584
3  25  1 0.009759890019794878
3  26  1 0.009092026321006443
3  27  1 0.006028677809927307
3  28  1 0.008036869577840191
3  29  1 0.011616357188563079
3  30  1 0.00954136111899859
3  31  1 0.0059746181478677616
3  32  1 0.010102572192771648
3  33  1 0.008851604306275502
3  34  1 0.010123012233569727
3  35  1 0.009319920621542301
3  36  1 0.009210292630340665
3  37  1 0.010454124325322514
3  38  1 0.01144718263085109
3  39  1 0.009333885602752057
3  40  1 0.009923231573490524
3  41  1 0.011896768691677436
3  42  1 0.010356434861496523
3  43  1 0.011688700173340661
3  44  1 0.010707948841339382
3  45  1 0.012867867388551685
3  46  1 0.010984492749938693
3  47  1 0.012569615679170924
3  48  1 0.010969457312749854
3  49  1 0.011314438458903687
3  50  1 0.010912462617366812
3  51  1 0.010897121958513879
3  52  1 0.013024510416797795
3  53  1 0.01427883519656031
3  54  1 0.013856080300162738
3  55  1 0.012133542217445059
3  56  1 0.014321847469495653
3  57  1 0.012623408817313076
3  58  1 0.01288309140912584
3  59  1 0.012382942109409897
3  60  1 0.01370672661930166
3  61  1 0.013794380830843132
3  62  1 0.017204843769492655
3  63  1 0.0175138501822233
-1  63  1 0.02855085740954706
-1  63  1 0.08525753880316918
0  62  1 0.015436939936793983
0  63  1 0.017465427855291864
0  60  1 0.015177661763686151
0  61  1 0.018130622499635523
0  58  1 0.013188169183008622
0  59  1 0.015527117677451104
0  56  1 0.013359216493645314
0  57  1 0.014754427233244997
0  54  1 0.012193557517225274
0  55  1 0.01398224694524888
0  52  1 0.012800787297325015
0  53  1 0.013321181513989486
0  50  1 0.013079552783607996
0  51  1 0.011938754111728567
0  48  1 0.012173086954260792
0  49  1 0.014128558220165345
0  46  1 0.012329801927613437
0  47  1 0.013519376111492763
0  44  1 0.01271724812786198
0  45  1 0.01221144568689604
0  42  1 0.013058370400119744
0  43  1 0.011547152536538829
0  40  1 0.012664191882023144
0  41  1 0.011024414653525055
0  38  1 0.011574618125997974
0  39  1 0.010776305413168395
0  36  1 0.01235876855361351
0  37  1 0.010626244272093034
0  34  1 0.01167261499164281
0  35  1 0.013274910999789924
0  32  1 0.01139396723371598
0  33  1 0.015357380639815276
0  30  1 0.013951435908335776
0  31  1 0.012303928941194454
0  28  1 0.010174066007276618
0  29  1 0.01046894610734649
0  26  1 0.010542952550193387
0  27  1 0.012493817149124835
0  24  1 0.010258139314651821
0  25  1 0.0110452536626412
0  22  1 0.011125703552832641
0  23  1 0.011759033055444694
0  20  1 0.011997112493903695
0  21  1 0.009544658603048197
0  18  1 0.00920667466354376
0  19  1 0.012505374149420349
0  16  1 0.009864088335607719
0  17  1 0.01064300421168401
0  14  1 0.008826044717100905
0  15  1 0.01080607869642357
0  12  1 0.010482269032984272
0  13  1 0.008477389465165516
0  10  1 0.007851983734968865
0  11  1 0.009675836333812365
0  8  1 0.00983900892551539
0  9  1 0.010291208991879242
0  6  1 0.008758233728996461
0  7  1 0.008970891473068393
0  4  1 0.008864959934234438
0  5  1 0.007860244341292146
0  2  1 0.009840775940935026
0  3  1 0.008094839347432279
0  0  1 0.007345810667696523
0  1  1 0.007653945018529753
1  1  1 0.005592796201818867
1  0  1 0.01201976103145698
1  3  1 0.007171299636211027
1  2  1 0.0056791232441602115
1  5  1 0.007603693541768485
1  4  1 0.009596353342249692
1  7  1 0.008542105723611497
1  6  1 0.008353304867859459
1  9  1 0.008258040281146968
1  8  1 0.008006987831886518
1  11  1 0.008709927495305119
1  10  1 0.009538793986788066
1  13  1 0.00892003445832711
1  12  1 0.009655215340170577
1  15  1 0.009521568584159347
1  14  1 0.008806526336720659
1  17  1 0.00870291720772726
1  16  1 0.008285744597550522
1  19  1 0.009187540535437064
1  18  1 0.010075975394977808
1  21  1 0.00932940102444459
1  20  1 0.008848951602991297
1  23  1 0.009900688773442298
1  22  1 0.0097087817422194
1  25  1 0.010345547168707274
1  24  1 0.00824054508436873
1  27  1 0.009123741032060746
1  26  1 0.009834208224770108
1  29  1 0.00912262261267731
1  28  1 0.008049876926078848
1  31  1 0.008282472730319158
1  30  1 0.009453495432446996
1  33  1 0.009189856949852077
1  32  1 0.008807645846181466
1  35  1 0.010067779103219463
1  34  1 0.009321368244292009
1  37  1 0.00892890768813332
1  36  1 0.008831329957237935
1  39  1 0.010211083944744586
1  38  1 0.011469158590665992
1  41  1 0.009819569575744596
1  40  1 0.008985836433835374
1  43  1 0.009952580816648083
1  42  1 0.011825534315586948
1  45  1 0.010925848767492159
1  44  1 0.0109078330587689
1  47  1 0.011765632383853392
1  46  1 0.011488820316220628
1  49  1 0.011649305867202229
1  48  1 0.012668457354778888
1  51  1 0.010587831035589194
1  50  1 0.01273187042572692
1  53  1 0.010411101151613466
1  52  1 0.011669629269721524
1  55  1 0.011970890682725742
1  54  1 0.010469363606979875
1  57  1 0.011951240948022203
1  56  1 0.012587055827041891
1  59  1 0.013765238702386209
1  58  1 0.011033044796077364
1  61  1 0.015496626033207929
1  60  1 0.013564530386463628
1  63  1 0.01398149588193973
-1  63  2 0.05777041212122719
3  63  2 0.03853039907306602
3  62  2 0.03955503008126333
3  61  2 0.039530652115178054
3  60  2 0.044212639348514285
3  59  2 0.03641203218123841
3  58  2 0.04269862814489031
3  57  2 0.04090071464503941
3  56  2 0.048113313221770836
3  55  2 0.03133154084566937
3  54  2 0.033468361069684135
3  53  2 0.03342359339450692
3  52  2 0.03395098772601135
3  51  2 0.02525964038823753
3  50  2 0.04494339402084887
3  49  2 0.03468720275474056
3  48  2 0.03761991691721265
3  47  2 0.03769926760447853
3  46  2 0.03529676741005643
3  45  2 0.02608869959382163
3  44  2 0.033661131353898276
3  43  2 0.024074208565285346
3  42  2 0.032794431699007455
3  41  2 0.027618258431891474
3  40  2 0.028138602539647922
3  39  2 0.02615552837710338
3  38  2 0.02677468206144237
3  37  2 0.029503211507419608
3  36  2 0.02696820424873533
3  35  2 0.01900745531428275
3  34  2 0.03552769224598357
3  33  2 0.027236971098348755
3  32  2 0.03437104336347901
3  31  2 0.023649965371213125
3  30  2 0.03793452267741378
3  29  2 0.020681660374754583
3  28  2 0.02551771979619762
3  27  2 0.037215053345566275
3  26  2 0.03494782096797578
3  25  2 0.029133084952106935
3  24  2 0.029326154185737936
3  23  2 0.02524898465334053
3  22  2 0.030700116646628563
3  21  2 0.04293342120509037
3  20  2 0.04034216389589885
3  19  2 0.02966520585507364
3  18  2 0.04788004208587487
3  17  2 0.0346297116111996
3  16  2 0.03805692208070988
3  15  2 0.03742420243419594
3  14  2 0.0403533020264458
3  13  2 0.031554052067326074
3  12  2 0.03484434596867529
3  11  2 0.0353876616213967
3  10  2 0.04414894047503651
3  9  2 0.042993478331126184
3  8  2 0.038859442731241284
3  7  2 0.027053518070960594
3  6  2 0.05417832651877297
3  5  2 0.04123015237290058
3  4  2 0.041308821364905234
3  3  2 0.032352570872254315
3  2  2 0.04506925172535384
3  1  2 0.03607158994416058
3  0  2 0.05383857050649295
2  0  2 0.04158183918463591
2  1  2 0.029120816702173435
2  2  2 0.04119185061124742
2  3  2 0.04046309799409859
2  4  2 0.04422891850312418
2  5  2 0.04985250580888862
2  6  2 0.041806005951927
2  7  2 0.038117907761752674
2  8  2 0.03636630650906619
2  9  2 0.04220739083944976
2  10  2 0.0338195133960984
2  11  2 0.027344454737557356
2  12  2 0.04021602536012349
2  13  2 0.04164993623817105
2  14  2 0.04677749398875165
2  15  2 0.03259161943210824
2  16  2 0.03327972398763514
2  17  2 0.03706616974165689
2  18  2 0.023374365715609437
2  19  2 0.02807997448241552
2  20  2 0.027761106428255588
2  21  2 0.03779227484465175
2  22  2 0.03182650369497932
2  23  2 0.03165434280238317
2  24  2 0.034249518160750454
2  25  2 0.03235222209793461
2  26  2 0.029342650758105597
2  27  2 0.029546738089563145
2  28  2 0.028791254412055257
2  29  2 0.03698690058605015
2  30  2 0.02858510840620422
2  31  2 0.0458406318116273
2  32  2 0.03174888782023865
2  33  2 0.038589649941583586
2  34  2 0.03230633562721242
2  35  2 0.026150930897434744
2  36  2 0.02701955560538879
2  37  2 0.034092984169491004
2  38  2 0.033322827058104784
2  39  2 0.029053174867068557
2  40  2 0.03199976979451061
2  41  2 0.02677431743374452
2  42  2 0.02888803475623238
2  43  2 0.033548493102016866
2  44  2 0.03849500980345912
2  45  2 0.03594863340786031
2  46  2 0.029725566460062965
2  47  2 0.036346118364353794
2  48  2 0.03134979034870869
2  49  2 0.02517172434722447
2  50  2 0.030835257636434854
2  51  2 0.044344208798696216
2  52  2 0.03290198101649705
2  53  2 0.03953758230620563
2  54  2 0.03356399544109656
2  55  2 0.033579726521775516
2  56  2 0.0388753504638484
2  57  2 0.03821791993030767
2  58  2 0.0388818594079704
2  59  2 0.042931500681563775
2  60  2 0.036242423682527274
2  61  2 0.0408148255716635
2  63  2 0.043361290293226384
1  62  2 0.04976526820039858
1  60  2 0.032655349890107085
1  61  2 0.045948609286969616
1  58  2 0.042897015559010834
1  59  2 0.039503346933740226
1  56  2 0.03980438493904627
1  57  2 0.031864353445591354
1  54  2 0.03438892480523823
1  55  2 0.04418770745837715
1  52  2 0.03401374033300229
1  53  2 0.03191605081124315
1  50  2 0.03146604065359495
1  51  2 0.029927717791233804
1  48  2 0.03055247783828394
1  49  2 0.0289272150101814
1  46  2 0.0317381537211336
1  47  2 0.03790499232277425
1  44  2 0.036156351318224554
1  45  2 0.034712200237569296
1  42  2 0.026643603385421866
1  43  2 0.03580317864221642
1  40  2 0.025505651905320385
1  41  2 0.03364139601750251
1  38  2 0.039371871635590756
1  39  2 0.03339499788257493
1  36  2 0.022500352034333607
1  37  2 0.029626630938023205
1  34  2 0.03330707165437972
1  35  2 0.030671959812820324
1  32  2 0.024559237711152187
1  33  2 0.03203985466228712
1  30  2 0.02311789189587269
1  31  2 0.04769341922014792
1  28  2 0.03303161832060595
1  29  2 0.03591994374282339
1  26  2 0.03213906708252475
1  27  2 0.021971552532732277
1  24  2 0.02361645221846509
1  25  2 0.035009188518978815
1  22  2 0.029548904617516802
1  23  2 0.027081052653327886
1  20  2 0.027989337568856507
1  21  2 0.03450428727315734
1  18  2 0.033366533510764754
1  19  2 0.027635106521583058
1  16  2 0.024102065520260264
1  17  2 0.03630829156229099
1  14  2 0.026493840362244066
1  15  2 0.03056314296411132
1  12  2 0.028796872518199415
1  13  2 0.03942541359116212
1  10  2 0.02951088466513979
1  11  2 0.03280902074564909
1  8  2 0.024570558794554997
1  9  2 0.04569826145004533
1  6  2 0.027907770872615943
1  7  2 0.03658939497035804
1  4  2 0.029826718933343956
1  5  2 0.03444061054043658
1  2  2 0.028620015190629622
1  3  2 0.029086191678594137
1  0  2 0.04486872168274668
1  1  2 0.03781883624959639
0  1  2 0.03743096295263016
0  0  2 0.04028364336106816
0  3  2 0.03565849580111214
0  2  2 0.044256973787033145
0  5  2 0.02644579495898026
0  4  2 0.03587293810209934
0  7  2 0.03703950049772465
0  6  2 0.03166978991566646
0  9  2 0.026509992736016237
0  8  2 0.04058384397372471
0  11  2 0.033684984630998546
0  10  2 0.03713787785140349
0  13  2 0.03238802624330531
0  12  2 0.030732000865787906
0  15  2 0.03362154748561918
0  14  2 0.03350225625051962
0  17  2 0.027664287329326673
0  16  2 0.031489252712620354
0  19  2 0.024842078708966937
0  18  2 0.03450191698674114
0  21  2 0.03636912581218489
0  20  2 0.03294322222209075
0  23  2 0.021939119850199855
0  22  2 0.03207667202577584
0  25  2 0.028174729323178913
0  24  2 0.030642699917993142
0  27  2 0.025009201346986545
0  26  2 0.02737369114514151
0  29  2 0.02406643911520636
0  28  2 0.02419440899468147
0  31  2 0.02926621946777848
0  30  2 0.03327273622966042
0  33  2 0.03390755661895776
0  32  2 0.024785759401108127
0  35  2 0.02821068603311121
0  34  2 0.035908015549749706
0  37  2 0.03554860895068436
0  36  2 0.03751607228499618
0  39  2 0.03280199827784695
0  38  2 0.052151483685626145
0  41  2 0.03738529016187323
0  40  2 0.03773023312900953
0  43  2 0.032054978903972985
0  42  2 0.028780289817649057
0  45  2 0.04435002206693432
0  44  2 0.043817900907823414
0  47  2 0.03212449877651451
0  46  2 0.045318573666227754
0  49  2 0.03805290610385111
0  48  2 0.04337654380755316
0  51  2 0.0354738809610812
0  50  2 0.028667032461807133
0  53  2 0.041628481999586006
0  52  2 0.054833582559184045
0  55  2 0.04098391296419431
0  54  2 0.04388699510576812
0  57  2 0.04327684756045136
0  56  2 0.03738604614134844
0  59  2 0.03648967313625866
0  58  2 0.0490553825383476
0  61  2 0.05009099533232007
0  60  2 0.054095472112664245
0  63  2 0.04234813724254758
0  62  2 0.04974322616499176
-1  63  2 0.06595166802721307
-1  63  3 0.06826841408826828
3  63  3 0.036140344028961824
3  62  3 0.044469494622174616
3  61  3 0.04113044640977837
3  60  3 0.05665508034603764
3  59  3 0.04309834777635886
3  58  3 0.03976145166255064
3  57  3 0.053953353712790336
3  56  3 0.05566659456332701
3  55  3 0.03298969859733068
3  54  3 0.04195826458227701
3  53  3 0.035423453088059505
3  52  3 0.05009587391761715
3  51  3 0.030822008503392822
3  50  3 0.03380775386425554
3  49  3 0.03458902393771078
3  48  3 0.03815959088102153
3  47  3 0.035563252067275765
3  46  3 0.03131944591608974
3  45  3 0.026887342347298632
3  44  3 0.03415835538370723
3  43  3 0.04186410578551235
3  42  3 0.02716558179349747
3  41  3 0.03136396073032134
3  40  3 0.03395125176291996
3  39  3 0.032594537428260136
3  38  3 0.035239728879953976
3  37  3 0.02439464501472102
3  36  3 0.02681005959029505
3  35  3 0.022676106863180723
